"Zone","Intended Tariff ID","Date","Desired Start","Configured Start","Start Time Match","Desired End","Configured End","End Time Match","RowGUID","Duplicate Eventday Entry"
"61634","61634","2022-12-07","14:00:00","14:00:00","Yes","20:29:59","20:29:59","Yes","b71b3aa2-d364-ed11-80e9-0a94ef448f59",
"61635","61634","2022-12-07","14:00:00","14:00:00","Yes","20:29:59","20:29:59","Yes","ba1b3aa2-d364-ed11-80e9-0a94ef448f59",
"61650","61634","2022-12-07","14:00:00","14:00:00","Yes","20:29:59","20:29:59","Yes","bb1b3aa2-d364-ed11-80e9-0a94ef448f59",
"61640","61640","2022-12-07","14:00:00","14:00:00","Yes","20:29:59","20:29:59","Yes","c11b3aa2-d364-ed11-80e9-0a94ef448f59",
"61636","61646","2022-12-07","14:00:00","14:00:00","Yes","20:29:59","20:29:59","Yes","c81b3aa2-d364-ed11-80e9-0a94ef448f59",
"61637","61646","2022-12-07","14:00:00","14:00:00","Yes","20:29:59","20:29:59","Yes","ca1b3aa2-d364-ed11-80e9-0a94ef448f59",
"61638","61646","2022-12-07","14:00:00","14:00:00","Yes","20:29:59","20:29:59","Yes","cd1b3aa2-d364-ed11-80e9-0a94ef448f59",
"61639","61646","2022-12-07","14:00:00","14:00:00","Yes","20:29:59","20:29:59","Yes","d01b3aa2-d364-ed11-80e9-0a94ef448f59",
"61641","61646","2022-12-07","14:00:00","14:00:00","Yes","20:29:59","20:29:59","Yes","d31b3aa2-d364-ed11-80e9-0a94ef448f59",
"61643","61646","2022-12-07","14:00:00","14:00:00","Yes","20:29:59","20:29:59","Yes","d41b3aa2-d364-ed11-80e9-0a94ef448f59",
"61644","61646","2022-12-07","14:00:00","14:00:00","Yes","20:29:59","20:29:59","Yes","d61b3aa2-d364-ed11-80e9-0a94ef448f59",
"61646","61646","2022-12-07","14:00:00","14:00:00","Yes","20:29:59","20:29:59","Yes","da1b3aa2-d364-ed11-80e9-0a94ef448f59",
"61647","61646","2022-12-07","14:00:00","14:00:00","Yes","20:29:59","20:29:59","Yes","db1b3aa2-d364-ed11-80e9-0a94ef448f59",
"61648","61646","2022-12-07","14:00:00","14:00:00","Yes","20:29:59","20:29:59","Yes","de1b3aa2-d364-ed11-80e9-0a94ef448f59",
"61651","61651","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","52dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61679","61651","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","53dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61652","61652","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","58dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61660","61652","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","5adcbbc7-d464-ed11-80e9-0a94ef448f59",
"61661","61652","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","5cdcbbc7-d464-ed11-80e9-0a94ef448f59",
"61664","61652","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","5ddcbbc7-d464-ed11-80e9-0a94ef448f59",
"61665","61652","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","5edcbbc7-d464-ed11-80e9-0a94ef448f59",
"61666","61652","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","60dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61673","61652","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","65dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61674","61652","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","66dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61675","61652","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","67dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61676","61652","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","68dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61677","61652","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","6adcbbc7-d464-ed11-80e9-0a94ef448f59",
"61653","61681","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","6ddcbbc7-d464-ed11-80e9-0a94ef448f59",
"61654","61681","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","7bdcbbc7-d464-ed11-80e9-0a94ef448f59",
"61655","61681","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","88dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61656","61681","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","97dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61657","61681","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","9edcbbc7-d464-ed11-80e9-0a94ef448f59",
"61658","61681","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","a6dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61659","61681","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","b5dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61669","61681","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","c3dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61670","61681","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","cbdcbbc7-d464-ed11-80e9-0a94ef448f59",
"61671","61681","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","cedcbbc7-d464-ed11-80e9-0a94ef448f59",
"61672","61681","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","cfdcbbc7-d464-ed11-80e9-0a94ef448f59",
"61678","61681","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","d2dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61681","61681","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","d3dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61683","61681","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","d4dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61684","61681","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","d7dcbbc7-d464-ed11-80e9-0a94ef448f59",
